id,english,german
languageInfo,So far only a part has been translated.,Bisher ist nur ein Teil übersetzt.
german,german,deutsch
english,english,englisch
campaign,campaign,Kampagne
load,load game,Spiel laden
language,language,Sprache
languageSystem,system language,Sprache des Systems
languageSelect,select your language,wähle deine Sprache
languageHelp,help with the translation,unterstütze bei der Übersetzung
task,task,Aufgabe
taskPlural,tasks,Aufgaben
action,action,
actionRepeatErrorDestination,Can not perform the action {0}. There is no destination in this level.,
actionRepeatErrorMove,Can not move multiple times. {0} will be canceled.,
actionRepeatErrorPath,Can not perform the action {0}. The path is blocked.,
advanced,advanced options
airfire,air > fire
airwater,air > water
android,android
aqua,aqua
armoury,armoury
athenaeum,athenaeum
attackBuilding,attack building
attackUnit,attack unit
audioMusic,Background music
audioSound,Sounds
autosave,Save the game after each round
back,back
badgood,bad > good
badneutral,bad > neutral
barrack,barrack
beta,Warning
black,black
blue,blue
border,Map Border
boundary,town boundary
brick,brick
brickworks,brickworks
bridge,bridge
brown,brown
build,build
building,building
buildTime,build time
cameraMove,move camera
cancel,cancel
centermouse,Center map on mouse click
charcoal,charcoal
claim,claim
clay,clay
claypit,clay pit
close,close
coal,coal
coat,coat
coat0,red
coat1,blue
coat2,turquoise
coat3,violet gold
coat4,light blue strip
coat5,red heart
coat6,black with yellow
coat7,brown
cobblestoneC,cobble stone collector
cobblestone,cobble stone
copper,copper
craft,craft resources
credits,credits
custom,custom
cyan,cyan
darkblue,darkblue
debug,debug
debugName,{0} ({1})
deep,deep dirt
deepGrass,deep grass
deepStone,deep stone
deepUnknown,deep unknown
deepWall,deep wall
deepWater,deep water
destroy,destroy it
developElement,Develop your nation
dirt,dirt
dirt2,bigger dirt collector
earth,earth
earthfire,earth > fire
earthwall,earth wall
earthwater,earth > water
ehall,earth town hall
element,element
elementPlural,elements
endgame,end game
endGameLose,lose the game
endGameWin,win the game
endless,endless game
endlessLose,How to lose
endlessLoseUnit,Lose all units
endlessWin,How to win
endlessWinGold,Collect 1000 Gold
evolve,evolve
examine,examine the terrain
examineRepeat,examine more terrain
exit,exit game
explore,explore
featurePlayer,feature for player
field,field
field6,Oasis (Two player)
field6mono,Oasis
fieldPlural,fields
fight,fight
fightmodi,fightmodi
fireair,fire > air
fireearth,fire > earth
fisher,fisher
float,float
floatswim,float > swim
floatwalk,float > walk
fly,fly
flyswim,fly > swim
flywalk,fly > walk
fog,Fog of war
food,food
forest,forest
forestRough,rough forest
forestSand,sand forest
forestSnow,winter forest
forge,forge
forger,forger
foundTown,found your town
frontier,kingdom frontier
frontierEnemy,Needs enemy frontier (Visible via overlay)
frontierEnemyHere,.{0} Here is a enemy frontier.
frontierNear,Needs your own frontier near (Visible via overlay)
frontierNone,Needs no frontier (Visible via overlay)
frontierNoneHere,.{0} Here is no frontier.
frontierOwn,Needs your own frontier (Visible via overlay)
frontierOwnHere,.{0} Here is your frontier.
fuchsia,fuchsia
fullscreen,Play fullscreen
gamebutton,gamebutton
gameoption,game option
general,General
geologist,geologist
gold,gold
goldignot,gold ignot
goldore,gold ore
goodbad,good > bad,
goodneutral,good > neutral,
grass,grass,
grassDirt,dirt grass,
grassSand,sand grass,
grassSnow,winter grass,
green,green,
grey,grey,
heal,heal,
help,help,
hill,hill,
hillDirt,dirt hill,
hillRough,rough hill,
hillSand,sand hill,
hillSnow,snow hill,
house,house,
hunter,hunter,
ice,ice,
iceMountain,ice mountain,
icon,icon,
improvement,Convert to a map improvement
,
inhabitant,inhabitant,
inhabitantPlural,inhabitants,
input,input,
interact,interact,
invisible,Invisble,
iron,iron ignot,
ironore,iron ore,
kingdom,kingdom,
lastBuild,last builds,
lastTrain,last train,
lava,lava,
lavarock,lavarock
lexicon,lexicon
lexplorer,light explorer
lhall1,village hall
lhall2,bigger village hall
library,library
light,light
lightblue,lightblue
lime,lime
logger,logger
lshrine,shrine
lwarrior,light warrior
lworker,light worker
magenta,magenta
mageskill,mage > skill
magewarrior,mage > warrior
mainmenu,Main menu
map,map
mapgeneration,map generation
market,market
maroon,maroon
mine,mine
minimap,Show Minimap
mint,mint
mod,mods
modFolder,Additional mod folder
modifier,modifier
modifierPlural,modifiers
more,more
mountain,mountain
mountainDirt,dirt mountain
mountainRough,rough mountain
mountainSand,sand mountain
mountainSnow,snow mountain
move,movement cost
moveArea,go
moveCamera,Move the camera
moveCameraEast,Scroll east
moveCameraLevelDown,Scroll level down
moveCameraLevelTop,Scroll level up
moveCameraNorth,Scroll north
moveCameraSouth,Scroll south
moveCameraWest,Scroll west
moveCost,movement cost
moveLevel,move level
movement,movement
moveTo,move to point
moveUnit,Move the units
moveUnitEast,Move unit east
moveUnitNorth,Move unit north
moveUnitSouth,Move unit south
moveUnitWest,Move unit west
name,name
nation,nation
navy,navy
neutralbad,neutral > bad
